4865c4865,13786
> ratB(0,23,14)
> ratA(0,43,93)
> ratB(0,23,13)
> ratA(0,44,93)
> ratB(0,22,13)
> ratA(0,45,93)
> ratB(0,21,13)
> ratA(0,45,92)
> ratB(0,20,13)
> ratA(0,45,91)
> ratB(0,19,13)
> ratA(0,45,90)
> ratB(0,18,13)
> ratA(0,45,89)
> ratB(0,17,13)
> ratA(0,45,90)
> ratB(0,17,12)
> ratA(0,45,91)
> ratB(0,17,11)
> ratA(0,44,91)
> ratB(0,18,11)
> ratA(0,43,91)
> ratB(0,19,11)
> ratA(0,42,91)
> ratB(0,19,10)
> ratA(0,41,91)
> ratB(0,19,9)
> ratA(0,41,90)
> ratB(0,20,9)
> ratA(0,41,89)
> ratB(0,21,9)
> ratA(0,42,89)
> ratB(0,21,8)
> ratA(0,43,89)
> ratB(0,21,7)
> ratA(0,43,88)
> ratB(0,20,7)
> ratA(0,43,87)
> ratB(0,19,7)
> ratA(0,43,86)
> ratB(0,19,6)
> ratA(0,43,85)
> ratB(0,19,5)
> ratA(0,44,85)
> ratB(0,19,4)
> ratA(0,45,85)
> ratB(0,19,3)
> ratA(0,45,86)
> ratB(0,18,3)
> ratA(0,45,87)
> ratB(0,17,3)
> ratA(0,46,87)
> ratB(0,16,3)
> ratA(0,47,87)
> ratB(0,15,3)
> ratA(0,47,88)
> ratB(0,14,3)
> ratA(0,47,89)
> ratB(0,13,3)
> ratA(0,47,90)
> ratB(0,13,4)
> ratA(0,47,91)
> ratB(0,13,5)
> ratA(0,48,91)
> ratB(0,14,5)
> ratA(0,49,91)
> ratB(0,15,5)
> ratA(0,50,91)
> ratB(0,15,6)
> ratA(0,51,91)
> ratB(0,15,7)
> ratA(0,51,92)
> ratB(0,16,7)
> ratA(0,51,93)
> ratB(0,17,7)
> ratA(0,52,93)
> ratB(0,17,6)
> ratA(0,53,93)
> ratB(0,17,5)
> ratA(0,54,93)
> ratB(0,17,6)
> ratA(0,55,93)
> ratB(0,17,7)
> ratA(0,55,94)
> ratB(0,17,8)
> ratA(0,55,95)
> ratB(0,17,9)
> ratA(0,55,96)
> ratB(0,16,9)
> ratA(0,55,97)
> ratB(0,15,9)
> ratA(0,54,97)
> ratB(0,14,9)
> ratA(0,53,97)
> ratB(0,13,9)
> ratA(0,53,96)
> ratB(0,13,8)
> ratA(0,53,95)
> ratB(0,13,7)
> ratA(0,52,95)
> ratB(0,13,8)
> ratA(0,51,95)
> ratB(0,13,9)
> ratA(0,50,95)
> ratB(0,13,10)
> ratA(0,49,95)
> ratB(0,13,11)
> ratA(0,49,96)
> ratB(0,14,11)
> ratA(0,49,97)
> ratB(0,15,11)
> ratA(0,50,97)
> ratB(0,15,12)
> ratA(0,51,97)
> ratB(0,15,13)
> ratA(0,51,98)
> ratB(0,14,13)
> ratA(0,51,99)
> ratB(0,13,13)
> ratA(0,52,99)
> ratB(0,13,14)
> ratA(0,53,99)
> ratB(0,13,15)
> ratA(0,54,99)
> ratB(0,12,15)
> ratA(0,55,99)
> ratB(0,11,15)
> ratA(0,56,99)
> ratB(0,10,15)
> ratA(0,57,99)
> ratB(0,9,15)
> ratA(0,57,98)
> ratB(0,9,14)
> ratA(0,57,97)
> ratB(0,9,13)
> ratA(0,58,97)
> ratB(0,10,13)
> ratA(0,59,97)
> ratB(0,11,13)
> ratA(0,60,97)
> ratB(0,11,12)
> ratA(0,61,97)
> ratB(0,11,11)
> ratA(0,61,98)
> ratB(0,10,11)
> ratA(0,61,99)
> ratB(0,9,11)
> ratA(0,62,99)
> ratB(0,8,11)
> ratA(0,63,99)
> ratB(0,7,11)
> ratA(0,64,99)
> ratB(0,7,12)
> ratA(0,65,99)
> ratB(0,7,13)
> ratA(0,66,99)
> ratB(0,6,13)
> ratA(0,67,99)
> ratB(0,5,13)
> ratA(0,68,99)
> ratB(0,4,13)
> ratA(0,69,99)
> ratB(0,3,13)
> ratA(0,70,99)
> ratB(0,2,13)
> ratA(0,71,99)
> ratB(0,1,13)
> ratA(0,72,99)
> ratB(0,1,14)
> ratA(0,73,99)
> ratB(0,1,15)
> ratA(0,73,98)
> ratB(0,2,15)
> ratA(0,73,97)
> ratB(0,3,15)
> ratA(0,73,96)
> ratB(0,3,16)
> ratA(0,73,95)
> ratB(0,3,17)
> ratA(0,74,95)
> ratB(0,3,18)
> ratA(0,75,95)
> ratB(0,3,19)
> ratA(0,74,95)
> ratB(0,4,19)
> ratA(0,73,95)
> ratB(0,5,19)
> ratA(0,73,96)
> ratB(0,5,18)
> ratA(0,73,97)
> ratB(0,5,17)
> ratA(0,73,98)
> ratB(0,5,16)
> ratA(0,73,99)
> ratB(0,5,15)
> ratA(0,74,99)
> ratB(0,6,15)
> ratA(0,75,99)
> ratB(0,7,15)
> ratA(0,75,98)
> ratB(0,7,16)
> ratA(0,75,97)
> ratB(0,7,17)
> ratA(0,76,97)
> ratB(0,7,18)
> ratA(0,77,97)
> ratB(0,7,19)
> ratA(0,77,96)
> ratB(0,7,20)
> ratA(0,77,95)
> ratB(0,7,21)
> ratA(0,77,94)
> ratB(0,7,22)
> ratA(0,77,93)
> ratB(0,7,23)
> ratA(0,78,93)
> ratB(0,6,23)
> ratA(0,79,93)
> ratB(0,5,23)
> ratA(0,79,92)
> ratB(0,5,24)
> ratA(0,79,91)
> ratB(0,5,25)
> ratA(0,80,91)
> ratB(0,4,25)
> ratA(0,81,91)
> ratB(0,3,25)
> ratA(0,81,90)
> ratB(0,2,25)
> ratA(0,81,89)
> ratB(0,1,25)
> ratA(0,82,89)
> ratB(0,1,24)
> ratA(0,83,89)
> ratB(0,1,23)
> ratA(0,83,88)
> ratB(0,2,23)
> ratA(0,83,87)
> ratB(0,3,23)
> ratA(0,84,87)
> ratB(0,3,22)
> ratA(0,85,87)
> ratB(0,3,21)
> ratA(0,86,87)
> ratB(0,2,21)
> ratA(0,87,87)
> ratB(0,1,21)
> ratA(0,87,88)
> ratB(0,1,20)
> ratA(0,87,89)
> ratB(0,1,19)
> ratA(0,86,89)
> ratB(0,1,18)
> ratA(0,85,89)
> ratB(0,1,17)
> ratA(0,86,89)
> ratB(0,1,18)
> ratA(0,87,89)
> ratB(0,1,19)
> ratA(0,87,88)
> ratB(0,1,20)
> ratA(0,87,87)
> ratB(0,1,21)
> ratA(0,86,87)
> ratB(0,2,21)
> ratA(0,85,87)
> ratB(0,3,21)
> ratA(0,84,87)
> ratB(0,4,21)
> ratA(0,83,87)
> ratB(0,5,21)
> ratA(0,82,87)
> ratB(0,4,21)
> ratA(0,81,87)
> ratB(0,3,21)
> ratA(0,82,87)
> ratB(0,3,22)
> ratA(0,83,87)
> ratB(0,3,23)
> ratA(0,83,88)
> ratB(0,2,23)
> ratA(0,83,89)
> ratB(0,1,23)
> ratA(0,82,89)
> ratB(0,1,24)
> ratA(0,81,89)
> ratB(0,1,25)
> ratA(0,80,89)
> ratB(0,2,25)
> ratA(0,79,89)
> ratB(0,3,25)
> ratA(0,80,89)
> ratB(0,4,25)
> ratA(0,81,89)
> ratB(0,5,25)
> ratA(0,81,90)
> ratB(0,6,25)
> ratA(0,81,91)
> ratB(0,7,25)
> ratA(0,80,91)
> ratB(0,8,25)
> ratA(0,79,91)
> ratB(0,9,25)
> ratA(0,79,92)
> ratB(0,10,25)
> ratA(0,79,93)
> ratB(0,11,25)
> ratA(0,78,93)
> ratB(0,11,24)
> ratA(0,77,93)
> ratB(0,11,23)
> ratA(0,77,94)
> ratB(0,10,23)
> ratA(0,77,95)
> ratB(0,9,23)
> ratA(0,78,95)
> ratB(0,9,22)
> ratA(0,79,95)
> ratB(0,9,21)
> ratA(0,79,96)
> ratB(0,9,20)
> ratA(0,79,97)
> ratB(0,9,19)
> ratA(0,79,98)
> ratB(0,10,19)
> ratA(0,79,99)
> ratB(0,11,19)
> ratA(0,80,99)
> ratB(0,11,18)
> ratA(0,81,99)
> ratB(0,11,17)
> ratA(0,82,99)
> ratB(0,10,17)
> ratA(0,83,99)
> ratB(0,9,17)
> ratA(0,83,98)
> ratB(0,10,17)
> ratA(0,83,97)
> ratB(0,11,17)
> ratA(0,83,96)
> ratB(0,12,17)
> ratA(0,83,95)
> ratB(0,13,17)
> ratA(0,82,95)
> ratB(0,13,18)
> ratA(0,81,95)
> ratB(0,13,19)
> ratA(0,81,94)
> ratB(0,14,19)
> ratA(0,81,93)
> ratB(0,15,19)
> ratA(0,82,93)
> ratB(0,15,20)
> ratA(0,83,93)
> ratB(0,15,21)
> ratA(0,83,92)
> ratB(0,15,22)
> ratA(0,83,91)
> ratB(0,15,23)
> ratA(0,84,91)
> ratB(0,15,24)
> ratA(0,85,91)
> ratB(0,15,25)
> ratA(0,86,91)
> ratB(0,14,25)
> ratA(0,87,91)
> ratB(0,13,25)
> ratA(0,87,92)
> ratB(0,13,24)
> ratA(0,87,93)
> ratB(0,13,23)
> ratA(0,86,93)
> ratB(0,13,22)
> ratA(0,85,93)
> ratB(0,13,21)
> ratA(0,85,94)
> ratB(0,12,21)
> ratA(0,85,95)
> ratB(0,11,21)
> ratA(0,86,95)
> ratB(0,12,21)
> ratA(0,87,95)
> ratB(0,13,21)
> ratA(0,88,95)
> ratB(0,13,22)
> ratA(0,89,95)
> ratB(0,13,23)
> ratA(0,89,96)
> ratB(0,13,24)
> ratA(0,89,97)
> ratB(0,13,25)
> ratA(0,88,97)
> ratB(0,13,26)
> ratA(0,87,97)
> ratB(0,13,27)
> ratA(0,87,98)
> ratB(0,13,28)
> ratA(0,87,99)
> ratB(0,13,29)
> ratA(0,88,99)
> ratB(0,12,29)
> ratA(0,89,99)
> ratB(0,11,29)
> ratA(0,90,99)
> ratB(0,10,29)
> ratA(0,91,99)
> ratB(0,9,29)
> ratA(0,92,99)
> ratB(0,9,28)
> ratA(0,93,99)
> ratB(0,9,27)
> ratA(0,94,99)
> ratB(0,10,27)
> ratA(0,95,99)
> ratB(0,11,27)
> ratA(0,95,98)
> ratB(0,10,27)
> ratA(0,95,97)
> ratB(0,9,27)
> ratA(0,96,97)
> ratB(0,9,28)
> ratA(0,97,97)
> ratB(0,9,29)
> ratA(0,98,97)
> ratB(0,8,29)
> ratA(0,99,97)
> ratB(0,7,29)
> ratA(0,99,96)
> ratB(0,7,28)
> ratA(0,99,95)
> ratB(0,7,27)
> ratA(0,99,94)
> ratB(0,7,28)
> ratA(0,99,93)
> ratB(0,7,29)
> ratA(0,99,92)
> ratB(0,8,29)
> ratA(0,99,91)
> ratB(0,9,29)
> ratA(0,98,91)
> ratB(0,10,29)
> ratA(0,97,91)
> ratB(0,11,29)
> ratA(0,97,90)
> ratB(0,12,29)
> ratA(0,97,89)
> ratB(0,13,29)
> ratA(0,98,89)
> ratB(0,14,29)
> ratA(0,99,89)
> ratB(0,15,29)
> ratA(0,99,88)
> ratB(0,16,29)
> ratA(0,99,87)
> ratB(0,17,29)
> ratA(0,98,87)
> ratB(0,17,28)
> ratA(0,97,87)
> ratB(0,17,27)
> ratA(0,97,86)
> ratB(0,16,27)
> ratA(0,97,85)
> ratB(0,15,27)
> ratA(0,97,84)
> ratB(0,16,27)
> ratA(0,97,83)
> ratB(0,17,27)
> ratA(0,96,83)
> ratB(0,18,27)
> ratA(0,95,83)
> ratB(0,19,27)
> ratA(0,95,82)
> ratB(0,20,27)
> ratA(0,95,81)
> ratB(0,21,27)
> ratA(0,94,81)
> ratB(0,22,27)
> ratA(0,93,81)
> ratB(0,23,27)
> ratA(0,93,82)
> ratB(0,23,26)
> ratA(0,93,83)
> ratB(0,23,25)
> ratA(0,92,83)
> ratB(0,22,25)
> ratA(0,91,83)
> ratB(0,21,25)
> ratA(0,91,84)
> ratB(0,21,24)
> ratA(0,91,85)
> ratB(0,21,23)
> ratA(0,91,86)
> ratB(0,20,23)
> ratA(0,91,87)
> ratB(0,19,23)
> ratA(0,91,88)
> ratB(0,19,24)
> ratA(0,91,89)
> ratB(0,19,25)
> ratA(0,92,89)
> ratB(0,18,25)
> ratA(0,93,89)
> ratB(0,17,25)
> ratA(0,94,89)
> ratB(0,17,24)
> ratA(0,95,89)
> ratB(0,17,23)
> ratA(0,95,90)
> ratB(0,17,22)
> ratA(0,95,91)
> ratB(0,17,21)
> ratA(0,94,91)
> ratB(0,18,21)
> ratA(0,93,91)
> ratB(0,19,21)
> ratA(0,92,91)
> ratB(0,20,21)
> ratA(0,91,91)
> ratB(0,21,21)
> ratA(0,92,91)
> ratB(0,22,21)
> ratA(0,93,91)
> ratB(0,23,21)
> ratA(0,94,91)
> ratB(0,23,22)
> ratA(0,95,91)
> ratB(0,23,23)
> ratA(0,95,90)
> ratB(0,24,23)
> ratA(0,95,89)
> ratB(0,25,23)
> ratA(0,95,88)
> ratB(0,25,22)
> ratA(0,95,87)
> ratB(0,25,21)
> ratA(0,94,87)
> ratB(0,25,20)
> ratA(0,93,87)
> ratB(0,25,19)
> ratA(0,93,86)
> ratB(0,24,19)
> ratA(0,93,85)
> ratB(0,23,19)
> ratA(0,94,85)
> ratB(0,22,19)
> ratA(0,95,85)
> ratB(0,21,19)
> ratA(0,94,85)
> ratB(0,20,19)
> ratA(0,93,85)
> ratB(0,19,19)
> ratA(0,93,86)
> ratB(0,19,18)
> ratA(0,93,87)
> ratB(0,19,17)
> ratA(0,94,87)
> ratB(0,19,16)
> ratA(0,95,87)
> ratB(0,19,15)
> ratA(0,95,88)
> ratB(0,18,15)
> ratA(0,95,89)
> ratB(0,17,15)
> ratA(0,94,89)
> ratB(0,17,16)
> ratA(0,93,89)
> ratB(0,17,17)
> ratA(0,92,89)
> ratB(0,16,17)
> ratA(0,91,89)
> ratB(0,15,17)
> ratA(0,91,88)
> ratB(0,15,16)
> ratA(0,91,87)
> ratB(0,15,15)
> ratA(0,91,86)
> ratB(0,15,16)
> ratA(0,91,85)
> ratB(0,15,17)
> ratA(0,91,84)
> ratB(0,16,17)
> ratA(0,91,83)
> ratB(0,17,17)
> ratA(0,91,82)
> ratB(0,17,18)
> ratA(0,91,81)
> ratB(0,17,19)
> ratA(0,91,80)
> ratB(0,17,18)
> ratA(0,91,79)
> ratB(0,17,17)
> ratA(0,90,79)
> ratB(0,17,16)
> ratA(0,89,79)
> ratB(0,17,15)
> ratA(0,89,78)
> ratB(0,18,15)
> ratA(0,89,77)
> ratB(0,19,15)
> ratA(0,89,76)
> ratB(0,19,16)
> ratA(0,89,75)
> ratB(0,19,17)
> ratA(0,88,75)
> ratB(0,19,18)
> ratA(0,87,75)
> ratB(0,19,19)
> ratA(0,87,74)
> ratB(0,20,19)
> ratA(0,87,73)
> ratB(0,21,19)
> ratA(0,88,73)
> ratB(0,22,19)
> ratA(0,89,73)
> ratB(0,23,19)
> ratA(0,90,73)
> ratB(0,24,19)
> ratA(0,91,73)
> ratB(0,25,19)
> ratA(0,92,73)
> ratB(0,26,19)
> ratA(0,93,73)
> ratB(0,27,19)
> ratA(0,93,74)
> ratB(0,27,20)
> ratA(0,93,75)
> ratB(0,27,21)
> ratA(0,92,75)
> ratB(0,28,21)
> ratA(0,91,75)
> ratB(0,29,21)
> ratA(0,91,76)
> ratB(0,28,21)
> ratA(0,91,77)
> ratB(0,27,21)
> ratA(0,92,77)
> ratB(0,27,22)
> ratA(0,93,77)
> ratB(0,27,23)
> ratA(0,94,77)
> ratB(0,27,22)
> ratA(0,95,77)
> ratB(0,27,21)
> ratA(0,96,77)
> ratB(0,27,20)
> ratA(0,97,77)
> ratB(0,27,19)
> ratA(0,97,78)
> ratB(0,26,19)
> ratA(0,97,79)
> ratB(0,25,19)
> ratA(0,97,80)
> ratB(0,25,20)
> ratA(0,97,81)
> ratB(0,25,21)
> ratA(0,98,81)
> ratB(0,25,22)
> ratA(0,99,81)
> ratB(0,25,23)
> ratA(0,99,82)
> ratB(0,24,23)
> ratA(0,99,83)
> ratB(0,23,23)
> ratA(0,99,84)
> ratB(0,23,22)
> ratA(0,99,85)
> ratB(0,23,21)
> ratA(0,99,84)
> ratB(0,22,21)
> ratA(0,99,83)
> ratB(0,21,21)
> ratA(0,99,82)
> ratB(0,20,21)
> ratA(0,99,81)
> ratB(0,19,21)
> ratA(0,99,80)
> ratB(0,18,21)
> ratA(0,99,79)
> ratB(0,17,21)
> ratA(0,99,78)
> ratB(0,17,22)
> ratA(0,99,77)
> ratB(0,17,23)
> ratA(0,99,78)
> ratB(0,17,24)
> ratA(0,99,79)
> ratB(0,17,25)
> ratA(0,99,80)
> ratB(0,18,25)
> ratA(0,99,81)
> ratB(0,19,25)
> ratA(0,98,81)
> ratB(0,19,24)
> ratA(0,97,81)
> ratB(0,19,23)
> ratA(0,97,80)
> ratB(0,20,23)
> ratA(0,97,79)
> ratB(0,21,23)
> ratA(0,96,79)
> ratB(0,21,24)
> ratA(0,95,79)
> ratB(0,21,25)
> ratA(0,94,79)
> ratB(0,22,25)
> ratA(0,93,79)
> ratB(0,23,25)
> ratA(0,94,79)
> ratB(0,23,26)
> ratA(0,95,79)
> ratB(0,23,27)
> ratA(0,96,79)
> ratB(0,22,27)
> ratA(0,97,79)
> ratB(0,21,27)
> ratA(0,97,78)
> ratB(0,20,27)
> ratA(0,97,77)
> ratB(0,19,27)
> ratA(0,97,76)
> ratB(0,18,27)
> ratA(0,97,75)
> ratB(0,17,27)
> ratA(0,97,74)
> ratB(0,17,28)
> ratA(0,97,73)
> ratB(0,17,29)
> ratA(0,97,72)
> ratB(0,16,29)
> ratA(0,97,71)
> ratB(0,15,29)
> ratA(0,98,71)
> ratB(0,14,29)
> ratA(0,99,71)
> ratB(0,13,29)
> ratA(0,99,72)
> ratB(0,13,28)
> ratA(0,99,73)
> ratB(0,13,27)
> ratA(0,99,74)
> ratB(0,13,26)
> ratA(0,99,75)
> ratB(0,13,25)
> ratA(0,99,74)
> ratB(0,14,25)
> ratA(0,99,73)
> ratB(0,15,25)
> ratA(0,99,72)
> ratB(0,15,24)
> ratA(0,99,71)
> ratB(0,15,23)
> ratA(0,99,70)
> ratB(0,15,22)
> ratA(0,99,69)
> ratB(0,15,21)
> ratA(0,99,68)
> ratB(0,15,20)
> ratA(0,99,67)
> ratB(0,15,19)
> ratA(0,98,67)
> ratB(0,14,19)
> ratA(0,97,67)
> ratB(0,13,19)
> ratA(0,97,66)
> ratB(0,13,18)
> ratA(0,97,65)
> ratB(0,13,17)
> ratA(0,98,65)
> ratB(0,12,17)
> ratA(0,99,65)
> ratB(0,11,17)
> ratA(0,99,64)
> ratB(0,11,18)
> ratA(0,99,63)
> ratB(0,11,19)
> ratA(0,99,62)
> ratB(0,10,19)
> ratA(0,99,61)
> ratB(0,9,19)
> ratA(0,99,60)
> ratB(0,9,20)
> ratA(0,99,59)
> ratB(0,9,21)
> ratA(0,99,58)
> ratB(0,9,22)
> ratA(0,99,57)
> ratB(0,9,23)
> ratA(0,99,56)
> ratB(0,10,23)
> ratA(0,99,55)
> ratB(0,11,23)
> ratA(0,99,54)
> ratB(0,11,24)
> ratA(0,99,53)
> ratB(0,11,25)
> ratA(0,99,52)
> ratB(0,10,25)
> ratA(0,99,51)
> ratB(0,9,25)
> ratA(0,99,50)
> ratB(0,8,25)
> ratA(0,99,49)
> ratB(0,7,25)
> ratA(0,98,49)
> ratB(0,6,25)
> ratA(0,97,49)
> ratB(0,5,25)
> ratA(0,97,50)
> ratB(0,5,24)
> ratA(0,97,51)
> ratB(0,5,23)
> ratA(0,96,51)
> ratB(0,6,23)
> ratA(0,95,51)
> ratB(0,7,23)
> ratA(0,95,50)
> ratB(0,7,22)
> ratA(0,95,49)
> ratB(0,7,21)
> ratA(0,94,49)
> ratB(0,7,20)
> ratA(0,93,49)
> ratB(0,7,19)
> ratA(0,93,50)
> ratB(0,7,18)
> ratA(0,93,51)
> ratB(0,7,17)
> ratA(0,93,52)
> ratB(0,7,16)
> ratA(0,93,53)
> ratB(0,7,15)
> ratA(0,93,54)
> ratB(0,6,15)
> ratA(0,93,55)
> ratB(0,5,15)
> ratA(0,93,56)
> ratB(0,5,16)
> ratA(0,93,57)
> ratB(0,5,17)
> ratA(0,92,57)
> ratB(0,5,18)
> ratA(0,91,57)
> ratB(0,5,19)
> ratA(0,91,58)
> ratB(0,4,19)
> ratA(0,91,59)
> ratB(0,3,19)
> ratA(0,91,60)
> ratB(0,3,18)
> ratA(0,91,61)
> ratB(0,3,17)
> ratA(0,90,61)
> ratB(0,3,16)
> ratA(0,89,61)
> ratB(0,3,15)
> ratA(0,89,60)
> ratB(0,2,15)
> ratA(0,89,59)
> ratB(0,1,15)
> ratA(0,88,59)
> ratB(0,1,14)
> ratA(0,87,59)
> ratB(0,1,13)
> ratA(0,87,60)
> ratB(0,2,13)
> ratA(0,87,61)
> ratB(0,3,13)
> ratA(0,86,61)
> ratB(0,4,13)
> ratA(0,85,61)
> ratB(0,5,13)
> ratA(0,85,60)
> ratB(0,6,13)
> ratA(0,85,59)
> ratB(0,7,13)
> ratA(0,84,59)
> ratB(0,7,12)
> ratA(0,83,59)
> ratB(0,7,11)
> ratA(0,83,60)
> ratB(0,8,11)
> ratA(0,83,61)
> ratB(0,9,11)
> ratA(0,83,62)
> ratB(0,10,11)
> ratA(0,83,63)
> ratB(0,11,11)
> ratA(0,83,64)
> ratB(0,11,12)
> ratA(0,83,65)
> ratB(0,11,13)
> ratA(0,83,66)
> ratB(0,10,13)
> ratA(0,83,67)
> ratB(0,9,13)
> ratA(0,83,66)
> ratB(0,9,14)
> ratA(0,83,65)
> ratB(0,9,15)
> ratA(0,84,65)
> ratB(0,10,15)
> ratA(0,85,65)
> ratB(0,11,15)
> ratA(0,86,65)
> ratB(0,12,15)
> ratA(0,87,65)
> ratB(0,13,15)
> ratA(0,88,65)
> ratB(0,13,14)
> ratA(0,89,65)
> ratB(0,13,13)
> ratA(0,90,65)
> ratB(0,14,13)
> ratA(0,91,65)
> ratB(0,15,13)
> ratA(0,91,64)
> ratB(0,15,12)
> ratA(0,91,63)
> ratB(0,15,11)
> ratA(0,92,63)
> ratB(0,14,11)
> ratA(0,93,63)
> ratB(0,13,11)
> ratA(0,93,64)
> ratB(0,13,10)
> ratA(0,93,65)
> ratB(0,13,9)
> ratA(0,93,66)
> ratB(0,14,9)
> ratA(0,93,67)
> ratB(0,15,9)
> ratA(0,92,67)
> ratB(0,16,9)
> ratA(0,91,67)
> ratB(0,17,9)
> ratA(0,91,68)
> ratB(0,17,8)
> ratA(0,91,69)
> ratB(0,17,7)
> ratA(0,91,70)
> ratB(0,16,7)
> ratA(0,91,71)
> ratB(0,15,7)
> ratA(0,92,71)
> ratB(0,15,6)
> ratA(0,93,71)
> ratB(0,15,5)
> ratA(0,94,71)
> ratB(0,14,5)
> ratA(0,95,71)
> ratB(0,13,5)
> ratA(0,95,72)
> ratB(0,13,4)
> ratA(0,95,73)
> ratB(0,13,3)
> ratA(0,95,74)
> ratB(0,14,3)
> ratA(0,95,75)
> ratB(0,15,3)
> ratA(0,95,74)
> ratB(0,16,3)
> ratA(0,95,73)
> ratB(0,17,3)
> ratA(0,95,72)
> ratB(0,18,3)
> ratA(0,95,71)
> ratB(0,19,3)
> ratA(0,95,70)
> ratB(0,20,3)
> ratA(0,95,69)
> ratB(0,21,3)
> ratA(0,96,69)
> ratB(0,21,4)
> ratA(0,97,69)
> ratB(0,21,5)
> ratA(0,96,69)
> ratB(0,21,4)
> ratA(0,95,69)
> ratB(0,21,3)
> ratA(0,94,69)
> ratB(0,20,3)
> ratA(0,93,69)
> ratB(0,19,3)
> ratA(0,94,69)
> ratB(0,19,4)
> ratA(0,95,69)
> ratB(0,19,5)
> ratA(0,95,68)
> ratB(0,19,6)
> ratA(0,95,67)
> ratB(0,19,7)
> ratA(0,95,66)
> ratB(0,20,7)
> ratA(0,95,65)
> ratB(0,21,7)
> ratA(0,95,64)
> ratB(0,21,8)
> ratA(0,95,63)
> ratB(0,21,9)
> ratA(0,96,63)
> ratB(0,21,10)
> ratA(0,97,63)
> ratB(0,21,11)
> ratA(0,97,62)
> ratB(0,22,11)
> ratA(0,97,61)
> ratB(0,23,11)
> ratA(0,97,60)
> ratB(0,23,10)
> ratA(0,97,59)
> ratB(0,23,9)
> ratA(0,97,58)
> ratB(0,23,10)
> ratA(0,97,57)
> ratB(0,23,11)
> ratA(0,97,56)
> ratB(0,22,11)
> ratA(0,97,55)
> ratB(0,21,11)
> ratA(0,97,54)
> ratB(0,21,10)
> ratA(0,97,53)
> ratB(0,21,9)
> ratA(0,96,53)
> ratB(0,20,9)
> ratA(0,95,53)
> ratB(0,19,9)
> ratA(0,95,54)
> ratB(0,19,10)
> ratA(0,95,55)
> ratB(0,19,11)
> ratA(0,95,56)
> ratB(0,18,11)
> ratA(0,95,57)
> ratB(0,17,11)
> ratA(0,95,58)
> ratB(0,17,12)
> ratA(0,95,59)
> ratB(0,17,13)
> ratA(0,94,59)
> ratB(0,18,13)
> ratA(0,93,59)
> ratB(0,19,13)
> ratA(0,93,60)
> ratB(0,20,13)
> ratA(0,93,61)
> ratB(0,21,13)
> ratA(0,94,61)
> ratB(0,22,13)
> ratA(0,95,61)
> ratB(0,23,13)
> ratA(0,94,61)
> ratB(0,23,14)
> ratA(0,93,61)
> ratB(0,23,15)
> ratA(0,93,60)
> ratB(0,24,15)
> ratA(0,93,59)
> ratB(0,25,15)
> ratA(0,94,59)
> ratB(0,25,14)
> ratA(0,95,59)
> ratB(0,25,13)
> ratA(0,95,58)
> ratB(0,26,13)
> ratA(0,95,57)
> ratB(0,27,13)
> ratA(0,95,56)
> ratB(0,26,13)
> ratA(0,95,55)
> ratB(0,25,13)
> ratA(0,95,54)
> ratB(0,25,14)
> ratA(0,95,53)
> ratB(0,25,15)
> ratA(0,96,53)
> ratB(0,24,15)
> ratA(0,97,53)
> ratB(0,23,15)
> ratA(0,97,54)
> ratB(0,22,15)
> ratA(0,97,55)
> ratB(0,21,15)
> ratA(0,97,56)
> ratB(0,21,16)
> ratA(0,97,57)
> ratB(0,21,17)
> ratA(0,97,58)
> ratB(0,22,17)
> ratA(0,97,59)
> ratB(0,23,17)
> ratA(0,97,60)
> ratB(0,24,17)
> ratA(0,97,61)
> ratB(0,25,17)
> ratA(0,97,62)
> ratB(0,26,17)
> ratA(0,97,63)
> ratB(0,27,17)
> ratA(0,96,63)
> ratB(0,27,16)
> ratA(0,95,63)
> ratB(0,27,15)
> ratA(0,95,64)
> ratB(0,28,15)
> ratA(0,95,65)
> ratB(0,29,15)
> ratA(0,95,66)
> ratB(0,30,15)
> ratA(0,95,67)
> ratB(0,31,15)
> ratA(0,95,68)
> ratB(0,31,16)
> ratA(0,95,69)
> ratB(0,31,17)
> ratA(0,95,70)
> ratB(0,31,16)
> ratA(0,95,71)
> ratB(0,31,15)
> ratA(0,94,71)
> ratB(0,30,15)
> ratA(0,93,71)
> ratB(0,29,15)
> ratA(0,92,71)
> ratB(0,29,16)
> ratA(0,91,71)
> ratB(0,29,17)
> ratA(0,90,71)
> ratB(0,29,18)
> ratA(0,89,71)
> ratB(0,29,19)
> ratA(0,88,71)
> ratB(0,30,19)
> ratA(0,87,71)
> ratB(0,31,19)
> ratA(0,86,71)
> ratB(0,31,20)
> ratA(0,85,71)
> ratB(0,31,21)
> ratA(0,85,70)
> ratB(0,31,22)
> ratA(0,85,69)
> ratB(0,31,23)
> ratA(0,86,69)
> ratB(0,30,23)
> ratA(0,87,69)
> ratB(0,29,23)
> ratA(0,87,68)
> ratB(0,29,24)
> ratA(0,87,67)
> ratB(0,29,25)
> ratA(0,88,67)
> ratB(0,30,25)
> ratA(0,89,67)
> ratB(0,31,25)
> ratA(0,89,68)
> ratB(0,31,26)
> ratA(0,89,69)
> ratB(0,31,27)
> ratA(0,89,68)
> ratB(0,31,28)
> ratA(0,89,67)
> ratB(0,31,29)
> ratA(0,88,67)
> ratB(0,31,30)
